,Age,Role,Gender,Level,Awareness of use,Frequency if use (How often ),Affected learning,Effectiveness in understanding,Do you believe,Rate quality,Benefits,Challenges,How supportive,Familiar,Rate,BenefitS perceive,Concerns,Recommendations,Comments or Suggestions
0,26-35,Student,Male,Degree,Yes,Daily,Somewhat improved,2.0,Neutral,3.0,Improved understanding of subjects;Accessibility to diverse resources;Easy assignment making,Technical issues;Reliability of information;Privacy concerns,Supportive,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Ethical considerations,Ethical consideration and responsible use to maximize its beneficial output
1,18-25,Educator,Male,Degree,Yes,Daily,Significantly improved,1.0,Strongly agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Technical issues;Reliability of information;Privacy concerns,Supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators;Dependence on technology,There should be proper education of the ethical use of it,I recommend government regulation on it usage and ethical considerations
2,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,2.0,Strongly agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,,
3,26-35,Student,Male,Degree,Yes,Daily,Significantly improved,1.0,Strongly agree,1.0,Improved understanding of subjects,Technical issues,Strongly supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues,,
4,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,2.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Neutral,3.0,3.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators,hix,none
5,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,1.0,Neutral,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction,Neutral,2.0,2.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,,
6,18-25,Student,Male,Degree,Yes,Rarely,No change,2.0,Agree,4.0,Increased engagement in learning,Technical issues,Supportive,2.0,2.0,Facilitates student engagement,Academic integrity,They should have images,Usage of AI is very necessary 
7,18-25,Student,Female,Degree,Yes,Rarely,Significantly improved,2.0,Neutral,3.0,Increased engagement in learning,Reliability of information,Supportive,2.0,3.0,Enhances personalized learning,Dependence on technology,Scanning of questions ,Very effective 
8,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,2.0,Neutral,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information,Supportive,1.0,1.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
9,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,2.0,Neutral,1.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information,Supportive,,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity,The AI should sometimes provide the sources of the information given to help in further research ,
10,18-25,Student,Female,Degree,Yes,Daily,Somewhat improved,2.0,Strongly agree,3.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Privacy concerns,Supportive,2.0,3.0,Enhances personalized learning;Improves efficiency in administrative tasks,Academic integrity;Job displacement for educators;Dependence on technology,very  good,
11,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,2.0,Neutral,3.0,Improved understanding of subjects;Accessibility to diverse resources;Search results are precise and concise ,Reliability of information;Privacy concerns,Supportive,3.0,3.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Academic integrity;Job displacement for educators;Dependence on technology,,Students at times abuse the use AI. They don't even read through it generated content 
12,18-25,Student,Female,Degree,Yes,Daily,Significantly improved,2.0,Agree,2.0,Improved understanding of subjects;Accessibility to diverse resources,Reliability of information,Strongly supportive,1.0,1.0,Improves efficiency in administrative tasks;Provides innovative teaching tools,Dependence on technology,,
13,18-25,Student,Male,Degree,Yes,Rarely,Somewhat improved,3.0,Neutral,2.0,Personalized learning experience;Accessibility to diverse resources,Reliability of information;Privacy concerns,Neutral,1.0,4.0,Enhances personalized learning,Privacy issues;Academic integrity,"Improve on answered they give to responses, most of the time their responses are not entirely accurate. ","It’s a good thing but Students should realized that not every information given by the AI is entirely accurate and should find a way to filter their search results to suit their questions, "
14,18-25,Student,Male,Degree,Yes,Monthly,Somewhat improved,2.0,Neutral,2.0,Improved understanding of subjects,Lack of human interaction,Neutral,2.0,4.0,Provides innovative teaching tools,Job displacement for educators,,
15,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,1.0,Agree,2.0,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Reliability of information;Privacy concerns,Strongly supportive,1.0,2.0,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools,Privacy issues;Dependence on technology,,
