Timestamp,1. What is your age?,2. What is your role in the educational sector?,3. What is your gender?,4. What is your current academic level?,"5. Are you aware of the use of generative AI (e.g., ChatGPT, Gemini, Grammarly, QuillBot) in educational settings?","6. How frequently do you use generative AI tools (e.g., Gemini, Grammarly, ChatGPT, AI tutors) in your studies or teaching?",7. How has the use of generative AI technology affected your learning or teaching experience?,8. How effective do you find AI-generated educational content in helping you understand complex subjects?,9. Do you believe AI-generated content enhances your critical thinking and problem-solving skills?,10. How do you rate the quality of AI-generated educational content compared to traditional educational resources?,10. What benefits have you experienced with the integration of AI-generated educational content? (Select all that apply),11. What challenges have you encountered with AI-generated educational content? (Select all that apply),12. How supportive are you of further integrating AI-generated educational content into the curriculum?,"13. How familiar are you with generative AI technology (e.g., ChatGPT, AI content generators)?",14. How would you rate your overall attitude towards the use of generative AI in education?,15. What benefits do you perceive generative AI could bring to the educational process? (Select all that apply),16. What concerns do you have about the use of generative AI in education? (Select all that apply),17. What recommendations do you have for improving the use of generative AI in education?,18. Please provide any additional comments or suggestions regarding the use of generative AI in Ghana’s tertiary education.
2024/07/06 9:17:43 AM MDT,26-35,Student,Male,Degree,Yes,Daily,Somewhat improved,2,Neutral,3,Improved understanding of subjects;Accessibility to diverse resources;Easy assignment making,Technical issues;Reliability of information;Privacy concerns,Supportive,2,2,Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,Ethical considerations,Ethical consideration and responsible use to maximize its beneficial output
2024/07/10 7:36:48 AM MDT,18-25,Educator,Male,Degree,Yes,Daily,Significantly improved,1,Strongly agree,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience,Technical issues;Reliability of information;Privacy concerns,Supportive,1,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues;Job displacement for educators;Dependence on technology,There should be proper education of the ethical use of it,I recommend government regulation on it usage and ethical considerations
2024/07/10 8:03:08 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,2,Strongly agree,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues,Strongly supportive,1,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Dependence on technology,,
2024/07/10 8:08:19 AM MDT,26-35,Student,Male,Degree,Yes,Daily,Significantly improved,1,Strongly agree,1,Improved understanding of subjects,Technical issues,Strongly supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Privacy issues,,
2024/07/10 8:15:14 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,2,Agree,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Technical issues;Lack of human interaction;Reliability of information;Privacy concerns,Neutral,3,3,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators,hix,none
2024/07/10 8:25:39 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Somewhat improved,1,Neutral,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction,Neutral,2,2,Improves efficiency in administrative tasks;Provides innovative teaching tools,Job displacement for educators;Dependence on technology,,
2024/07/10 8:31:01 AM MDT,18-25,Student,Male,Degree,Yes,Rarely,No change,2,Agree,4,Increased engagement in learning,Technical issues,Supportive,2,2,Facilitates student engagement,Academic integrity,They should have images,Usage of AI is very necessary 
2024/07/10 8:47:24 AM MDT,18-25,Student,Female,Degree,Yes,Rarely,Significantly improved,2,Neutral,3,Increased engagement in learning,Reliability of information,Supportive,2,3,Enhances personalized learning,Dependence on technology,Scanning of questions ,Very effective 
2024/07/10 8:50:32 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,2,Neutral,2,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Lack of human interaction;Reliability of information,Supportive,1,1,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity;Job displacement for educators;Dependence on technology,,
2024/07/10 8:54:48 AM MDT,18-25,Student,Male,Degree,Yes,Daily,Significantly improved,2,Neutral,1,Improved understanding of subjects;Increased engagement in learning;Personalized learning experience;Accessibility to diverse resources,Reliability of information,Supportive,,2,Enhances personalized learning;Improves efficiency in administrative tasks;Provides innovative teaching tools;Facilitates student engagement,Academic integrity,The AI should sometimes provide the sources of the information given to help in further research ,
